timestamp,click_index,latency_ms,replicas,available_replicas,status,notes
2025-08-18T00:50:22.224452,1,18.917560577392578,1,1,ok,
2025-08-18T00:50:22.318863,2,36.18144989013672,1,1,ok,
2025-08-18T00:50:22.367875,3,21.9881534576416,1,1,ok,
2025-08-18T00:50:22.418778,4,21.173477172851562,1,1,ok,
2025-08-18T00:50:22.468802,5,23.168325424194336,1,1,ok,
2025-08-18T00:50:22.518724,6,22.481679916381836,1,1,ok,
2025-08-18T00:50:22.566904,7,22.129535675048828,1,1,ok,
2025-08-18T00:50:22.623508,8,27.211904525756836,1,1,ok,
2025-08-18T00:50:22.669587,9,19.672870635986328,1,1,ok,
2025-08-18T00:50:22.716780,10,21.55017852783203,1,1,ok,
2025-08-18T00:50:22.764745,11,21.754741668701172,1,1,ok,
2025-08-18T00:50:22.809763,12,19.578218460083008,1,1,ok,
2025-08-18T00:50:22.857614,13,22.503137588500977,1,1,ok,
2025-08-18T00:50:22.906305,14,22.831201553344727,1,1,ok,
2025-08-18T00:50:22.954175,15,22.253036499023438,1,1,ok,
2025-08-18T00:50:23.012392,16,31.620502471923828,1,1,ok,
2025-08-18T00:50:23.060389,17,20.83277702331543,1,1,ok,
2025-08-18T00:50:23.109019,18,18.312931060791016,1,1,ok,
2025-08-18T00:50:23.162152,19,24.561643600463867,1,1,ok,
2025-08-18T00:50:23.210541,20,23.154020309448242,1,1,ok,
2025-08-18T00:50:23.259964,21,22.639989852905273,1,1,ok,
2025-08-18T00:50:23.313733,22,18.378734588623047,1,1,ok,
2025-08-18T00:50:23.363889,23,24.14679527282715,1,1,ok,
2025-08-18T00:50:23.417398,24,27.700185775756836,1,1,ok,
2025-08-18T00:50:23.470579,25,21.086692810058594,1,1,ok,
2025-08-18T00:50:23.519189,26,21.1637020111084,1,1,ok,
2025-08-18T00:50:23.572985,27,28.152942657470703,1,1,ok,
2025-08-18T00:50:23.621160,28,19.18172836303711,1,1,ok,
2025-08-18T00:50:23.671708,29,22.614717483520508,1,1,ok,
2025-08-18T00:50:23.719571,30,22.9642391204834,1,1,ok,
2025-08-18T00:50:23.767763,31,20.407438278198242,1,1,ok,
2025-08-18T00:50:23.816986,32,22.79520034790039,1,1,ok,
2025-08-18T00:50:23.864935,33,22.89748191833496,1,1,ok,
2025-08-18T00:50:23.912573,34,18.738985061645508,1,1,ok,
2025-08-18T00:50:23.965019,35,26.190757751464844,1,1,ok,
2025-08-18T00:50:24.010076,36,19.330263137817383,1,1,ok,
2025-08-18T00:50:24.059471,37,21.68560028076172,1,1,ok,
2025-08-18T00:50:24.109482,38,24.71756935119629,1,1,ok,
2025-08-18T00:50:24.160683,39,25.055408477783203,1,1,ok,
2025-08-18T00:50:24.208034,40,19.86384391784668,1,1,ok,
2025-08-18T00:50:24.259268,41,26.148080825805664,1,1,ok,
2025-08-18T00:50:24.307020,42,22.124290466308594,1,1,ok,
2025-08-18T00:50:24.354291,43,19.252300262451172,1,1,ok,
2025-08-18T00:50:24.403009,44,18.8601016998291,1,1,ok,
2025-08-18T00:50:24.454112,45,24.626970291137695,1,1,ok,
2025-08-18T00:50:24.500415,46,21.4993953704834,1,1,ok,
2025-08-18T00:50:24.544706,47,19.28400993347168,1,1,ok,
2025-08-18T00:50:24.597141,48,26.203155517578125,1,1,ok,
2025-08-18T00:50:24.644479,49,21.371841430664062,1,1,ok,
2025-08-18T00:50:24.700423,50,20.487546920776367,1,1,ok,
2025-08-18T00:50:24.769550,51,37.23573684692383,1,1,ok,
2025-08-18T00:50:24.822130,52,21.044254302978516,1,1,ok,
2025-08-18T00:50:24.867216,53,19.39535140991211,1,1,ok,
2025-08-18T00:50:24.919062,54,20.76888084411621,1,1,ok,
2025-08-18T00:50:24.977234,55,23.75173568725586,1,1,ok,
2025-08-18T00:50:25.027304,56,20.269393920898438,1,1,ok,
2025-08-18T00:50:25.074455,57,19.80304718017578,1,1,ok,
2025-08-18T00:50:25.124326,58,23.600339889526367,1,1,ok,
2025-08-18T00:50:25.171922,59,21.285057067871094,1,1,ok,
2025-08-18T00:50:25.218113,60,18.502235412597656,1,1,ok,
2025-08-18T00:50:25.267467,61,23.99730682373047,1,1,ok,
2025-08-18T00:50:25.317212,62,23.551225662231445,1,1,ok,
2025-08-18T00:50:25.364176,63,18.69988441467285,1,1,ok,
2025-08-18T00:50:25.414975,64,25.03347396850586,1,1,ok,
2025-08-18T00:50:25.462464,65,22.216796875,1,1,ok,
2025-08-18T00:50:25.516756,66,25.905132293701172,1,1,ok,
2025-08-18T00:50:25.564280,67,21.52538299560547,1,1,ok,
2025-08-18T00:50:25.613429,68,23.860454559326172,1,1,ok,
2025-08-18T00:50:25.658976,69,18.607139587402344,1,1,ok,
2025-08-18T00:50:25.709024,70,24.307727813720703,1,1,ok,
2025-08-18T00:50:25.763720,71,28.456926345825195,1,1,ok,
2025-08-18T00:50:25.808418,72,18.863916397094727,1,1,ok,
2025-08-18T00:50:25.857384,73,23.655176162719727,1,1,ok,
2025-08-18T00:50:25.907396,74,21.664142608642578,1,1,ok,
2025-08-18T00:50:25.952699,75,18.929004669189453,1,1,ok,
2025-08-18T00:50:26.005200,76,24.31178092956543,1,1,ok,
2025-08-18T00:50:26.056116,77,18.859386444091797,1,1,ok,
2025-08-18T00:50:26.112833,78,23.93364906311035,1,1,ok,
2025-08-18T00:50:26.162849,79,23.665666580200195,1,1,ok,
2025-08-18T00:50:26.210088,80,19.43230628967285,1,1,ok,
2025-08-18T00:50:26.257636,81,21.039962768554688,1,1,ok,
2025-08-18T00:50:26.308050,82,21.275997161865234,1,1,ok,
2025-08-18T00:50:26.356698,83,21.044254302978516,1,1,ok,
2025-08-18T00:50:26.410015,84,27.07052230834961,1,1,ok,
2025-08-18T00:50:26.461501,85,25.367021560668945,1,1,ok,
2025-08-18T00:50:26.505185,86,17.91691780090332,1,1,ok,
2025-08-18T00:50:26.557947,87,26.82948112487793,1,1,ok,
2025-08-18T00:50:26.607601,88,20.067453384399414,1,1,ok,
2025-08-18T00:50:26.654684,89,20.173072814941406,1,1,ok,
2025-08-18T00:50:26.710067,90,21.879196166992188,1,1,ok,
2025-08-18T00:50:26.762927,91,21.9271183013916,1,1,ok,
2025-08-18T00:50:26.809936,92,22.435665130615234,1,1,ok,
2025-08-18T00:50:26.856318,93,19.814014434814453,1,1,ok,
2025-08-18T00:50:26.905040,94,19.782066345214844,1,1,ok,
2025-08-18T00:50:26.953206,95,20.0955867767334,1,1,ok,
2025-08-18T00:50:27.001856,96,19.831180572509766,1,1,ok,
2025-08-18T00:50:27.050696,97,23.209095001220703,1,1,ok,
2025-08-18T00:50:27.094996,98,18.58043670654297,1,1,ok,
2025-08-18T00:50:27.150316,99,29.24180030822754,1,1,ok,
2025-08-18T00:50:27.212546,100,35.466670989990234,1,1,ok,
2025-08-18T00:50:27.262152,101,19.858598709106445,1,1,ok,
2025-08-18T00:50:27.310196,102,19.385576248168945,1,1,ok,
2025-08-18T00:50:27.357244,103,20.183563232421875,1,1,ok,
2025-08-18T00:50:27.407386,104,24.683713912963867,1,1,ok,
2025-08-18T00:50:27.454873,105,19.3636417388916,1,1,ok,
2025-08-18T00:50:27.500779,106,19.823551177978516,1,1,ok,
2025-08-18T00:50:27.547911,107,21.18825912475586,1,1,ok,
2025-08-18T00:50:27.596737,108,20.183086395263672,1,1,ok,
2025-08-18T00:50:27.642193,109,19.200801849365234,1,1,ok,
2025-08-18T00:50:27.687994,110,20.081043243408203,1,1,ok,
2025-08-18T00:50:27.736961,111,24.62005615234375,1,1,ok,
2025-08-18T00:50:27.787739,112,18.749475479125977,1,1,ok,
2025-08-18T00:50:27.835130,113,20.30324935913086,1,1,ok,
2025-08-18T00:50:27.884763,114,25.055885314941406,1,1,ok,
2025-08-18T00:50:27.934801,115,23.806333541870117,1,1,ok,
2025-08-18T00:50:27.982601,116,18.984556198120117,1,1,ok,
2025-08-18T00:50:28.031324,117,22.803306579589844,1,1,ok,
2025-08-18T00:50:28.078044,118,21.62957191467285,1,1,ok,
2025-08-18T00:50:28.126891,119,23.519515991210938,1,1,ok,
2025-08-18T00:50:28.174106,120,18.84293556213379,1,1,ok,
2025-08-18T00:50:28.225667,121,25.304079055786133,1,1,ok,
2025-08-18T00:50:28.270952,122,20.107030868530273,1,1,ok,
2025-08-18T00:50:28.319876,123,18.6154842376709,1,1,ok,
2025-08-18T00:50:28.366283,124,20.188331604003906,1,1,ok,
2025-08-18T00:50:28.417415,125,25.9554386138916,1,1,ok,
2025-08-18T00:50:28.465356,126,18.783092498779297,1,1,ok,
2025-08-18T00:50:28.513672,127,21.1639404296875,1,1,ok,
2025-08-18T00:50:28.563168,128,22.707223892211914,1,1,ok,
2025-08-18T00:50:28.609453,129,18.043041229248047,1,1,ok,
2025-08-18T00:50:28.658638,130,22.63045310974121,1,1,ok,
2025-08-18T00:50:28.710685,131,26.6878604888916,1,1,ok,
2025-08-18T00:50:28.757124,132,19.769668579101562,1,1,ok,
2025-08-18T00:50:28.809220,133,26.884078979492188,1,1,ok,
2025-08-18T00:50:28.864297,134,28.835773468017578,1,1,ok,
2025-08-18T00:50:28.911607,135,18.494129180908203,1,1,ok,
2025-08-18T00:50:28.956671,136,18.445730209350586,1,1,ok,
2025-08-18T00:50:29.006336,137,22.86672592163086,1,1,ok,
2025-08-18T00:50:29.054014,138,22.629499435424805,1,1,ok,
2025-08-18T00:50:29.098864,139,18.04065704345703,1,1,ok,
2025-08-18T00:50:29.150827,140,24.425506591796875,1,1,ok,
2025-08-18T00:50:29.199753,141,23.42057228088379,1,1,ok,
2025-08-18T00:50:29.249547,142,18.691062927246094,1,1,ok,
2025-08-18T00:50:29.297196,143,20.357847213745117,1,1,ok,
2025-08-18T00:50:29.345044,144,22.736549377441406,1,1,ok,
2025-08-18T00:50:29.394705,145,21.699905395507812,1,1,ok,
2025-08-18T00:50:29.440698,146,18.620729446411133,1,1,ok,
2025-08-18T00:50:29.489399,147,22.53413200378418,1,1,ok,
2025-08-18T00:50:29.535310,148,20.86329460144043,1,1,ok,
